City,State,Zip,Country,County,x,y
Lexington,KY,40514,US,Fayette,-84.5634293040,37.9826873470
Georgetown,KY,40324,US,Scott,-84.5532418030,38.2467290910
fayetteville,NC,28304,US,Cumberland,-78.9898445900,35.0259908430
Fort Wayne,IN,46825,US,Allen,-85.1253443750,41.1530311900
Middletown,RI,02842,US,Newport,-71.2770714590,41.5173611570
Versailles,KY,40383,US,Woodford,-84.7398785760,38.0126588400
Milwaukee,WI,53202,US,Milwaukee,-87.8974662650,43.0448975650
Lexington,KY,40502,US,Fayette,-84.4820609260,38.0138599450
Lexington,KY,40508,US,Fayette,-84.5011406050,38.0499445620
Lexington,KY,40508,US,Fayette,-84.5011406050,38.0499445620
Richmond,KY,40475,US,Madison,-84.3136912960,37.7665775750
Lexington,KY,40515,US,Fayette,-84.4097624210,37.9203313820
Versailles,KY,40383,US,Woodford,-84.7398785760,38.0126588400
Georgetown,KY,40324,US,Scott,-84.5532418030,38.2467290910
Surprise,AZ,85388,US,Maricopa,-112.4338490600,33.6078997620
Rochester,NY,14615,US,Monroe,-77.6559833500,43.2034068990
Littleton,CO,80123,US,Jefferson,-105.0688676300,39.6158464180
Brisbane,QLD,4103,AU,,0,0
Pittsburgh,PA,15217,US,Allegheny,-79.9205577350,40.4307260870
Lexington,KY,40503,US,Fayette,-84.5342295970,38.0046835600
Somers Point,NJ,8244,US,Atlantic,0,0
Nevada city,CA,95959,US,,-120.9205860500,39.3385371990
Lexington,KY,40503,US,Fayette,-84.5342295970,38.0046835600
Lakewood,CO,80227,US,Jefferson,-105.0895959600,39.6671068090
Minneapolis,MN,55415,US,Hennepin,-93.2576541290,44.9747806850
Graford,TX,76449,US,Palo Pinto,-98.3227924230,32.9156481450
Lexington,KY,40502,US,Fayette,-84.4820609260,38.0138599450
Philadelphia,PA,19130,US,Philadelphia,-75.1754682920,39.9677894790
Oak Hill,VA,20171,US,Fairfax,-77.3981470100,38.9236038390
Lexington,KY,40504,US,Fayette,-84.5415441300,38.0417293420
Lexington,KY,40502,US,Fayette,-84.4820609260,38.0138599450
Lexington,VA,24450,US,Lexington City,-79.5238494700,37.7857887900
Fort Collins,CO,80525,US,Larimer,-105.0370685700,40.5292002700
PHILADELPHIA,PA,19122,US,Philadelphia,-75.1458245450,39.9777751900
Woodland Hills,CA,91364,US,Los Angeles,-118.5950987600,34.1547655270
Karachi,,123456,PK,Schenectady,0,0
Brooklyn,NY,11230,US,,-73.9652412990,40.6220375700
LEXINGTON,KY,40509,US,Fayette,-84.3761996790,37.9978421900
Chicago,IL,60622,US,Cook,-87.6832494710,41.9026922080
Topeka,KS,66614,US,Shawnee,-95.8494795380,39.0115073530
Denver,CO,80212,US,Denver,-105.0482988300,39.7716406260
AUSTIN,TX,78723,US,Travis,-97.6856982700,30.3042679660
Abu Dhabi,,na,AE,,0,0
Lexington,KY,40503,US,Fayette,-84.5342295970,38.0046835600
Silver Spring,MD,20910,US,Montgomery,-77.0363208970,39.0021776600
Brookline,MA,2445,US,Norfolk,0,0
Arlington,VA,22201,US,Arlington,-77.0951958550,38.8866114290
Lexington,KY,40514,US,Fayette,-84.5634293040,37.9826873470
Camarillo,CA,93012,US,Ventura,-118.9979471200,34.2032794620
Selma,CA,93662,US,Fresno,-119.6419682800,36.5392670460
Lexington,KY,40503,US,Fayette,-84.5342295970,38.0046835600
Gadsden,AL,35901,US,Etowah,-85.9245988080,34.0479847460
Brick,NJ,8724,US,Ocean,0,0
Lexington,KY,40515,US,Fayette,-84.4097624210,37.9203313820
Versailles,KY,40383,US,Woodford,-84.7398785760,38.0126588400
Cohoes,NY,12047,US,Albany,-73.7265168680,42.7840051380
Athens,GA,30605,US,Clarke,-83.3232752860,33.9065630970
Seattle,WA,98122,US,King,-122.2918015800,47.6115220260
Eden Prairie,MN,55347,US,Hennepin,-93.4663226080,44.8293158420
Hixson,TN,37343,US,Hamilton,-85.2091295490,35.1688646570
Centennial,CO,80122,US,Arapahoe,-104.9559083200,39.5806178470
St catharines,ON,L2N4C3,CA,,0,0
Riverview,FL,33569,US,Hillsborough,-82.2871732700,27.8451448960
Rock Springs,WY,82901,US,Sweetwater,-109.0024293400,41.3648836890
Madisonville,KY,42431,US,Hopkins,-87.4783044550,37.3292000600
Moncks Corner,SC,29461,US,Berkeley,-80.0000924280,33.1587026230
Madison,AL,35758,US,Madison,-86.7466819210,34.7134904550
Hayes,VA,23072,US,Gloucester,-76.4818285530,37.2964102850
Hyde Park,NY,12538,US,Dutchess,-73.8931027230,41.7924762940
Brooklyn,NY,11238,US,Kings,-73.9638408140,40.6791294130
Frankfort,KY,40601,US,Franklin,-84.8808610510,38.2339826320
Lexington,KY,40504,US,Fayette,-84.5415441300,38.0417293420
